89,417,170
818,714,848
400,159,986
535,347,827
228,415,395
147,457,225
360,380,43
143,972,41
483,692,274
86,141,489
736,833,875
899,876,477
714,905,742
182,99,261
508,973,66
855,494,415
319,1,446
201,6,891
812,728,91
609,620,224
714,468,32
431,140,911
275,57,947
328,881,992
708,35,270
35,961,358
525,691,170
741,696,983
779,958,332
542,641,60
290,653,547
4,638,530
962,632,349
346,570,146
888,602,315
423,268,831
27,873,751
151,102,20
963,213,105
327,250,37
783,530,413
413,45,14
518,414,655
467,346,4
311,325,201
507,324,704
849,503,643
561,49,709
541,336,724
635,457,746
410,97,324
13,621,23
284,271,644
661,43,442
317,293,752
646,350,172
433,416,496
377,941,805
827,779,779
592,965,185
205,638,480
118,616,81
344,494,735
244,686,435
601,131,325
613,659,708
528,947,566
987,999,726
892,934,294
320,767,68
948,487,471
982,970,367
816,413,293
139,951,951
584,826,96
457,66,689
164,10,347
978,116,930
561,316,488
324,44,237
17,410,404
633,46,1000
898,925,127
839,760,569
819,926,567
307,387,266
791,629,133
440,157,756
826,224,199
607,243,937
244,835,144
836,445,657
837,851,282
741,259,315
57,940,459
345,490,158
543,797,993
138,356,744
165,270,64
738,746,626
12,105,35
525,690,246
743,112,156
488,70,316
444,963,923
841,396,954
814,868,44
685,306,333
619,615,477
27,759,872
365,910,836
245,319,584
132,851,989
280,443,851
78,308,199
697,454,974
335,109,990
709,76,743
529,497,977
838,253,738
347,407,965
157,514,612
304,334,169
814,526,755
429,924,160
417,608,639
358,936,74
786,460,941
400,507,580
615,60,172
526,310,215
455,739,951
208,845,282
558,398,640
434,98,119
41,774,274
67,615,625
362,304,957
586,594,947
458,151,774
848,27,75
825,63,808
31,246,926
764,786,211
510,271,948
652,216,879
485,381,791
185,562,143
986,902,610
218,669,716
274,281,871
954,801,166
801,27,137
259,786,148
207,211,714
576,551,206
165,247,977
334,115,297
178,627,325
799,453,864
814,234,840
384,825,326
863,394,809
771,971,274
92,838,678
750,896,734
235,486,288
645,411,770
375,578,389
112,708,844
629,828,630
870,947,773
97,623,324
716,12,750
523,957,647
715,668,854
581,162,505
416,731,219
483,733,555
828,760,204
8,148,723
805,883,418
598,793,323
295,845,861
587,117,774
960,844,163
680,39,706
642,372,741
70,612,222
748,576,138
763,238,388
518,719,18
498,807,361
775,92,583
755,919,471
311,239,402
186,478,510
576,121,69
657,249,559
669,38,621
846,59,443
363,424,631
701,665,500
629,883,748
669,590,641
340,436,782
61,479,135
198,920,770
80,297,466
549,495,320
119,137,322
41,731,754
957,368,244
539,690,891
94,266,690
481,269,231
424,350,667
558,849,870
419,966,257
963,720,498
260,180,788
622,599,390
238,684,320
290,7,114
146,948,930
390,81,410
75,479,103
522,707,461
621,476,459
542,957,822
62,462,904
131,272,75
110,952,518
609,735,611
838,19,458
769,381,548
101,174,486
897,761,595
530,456,515
39,275,482
142,220,888
108,695,863
683,878,670
312,136,855
20,858,605
907,236,729
112,26,736
464,981,285
159,796,925
587,35,215
829,522,823
871,301,609
882,885,400
179,238,256
242,564,577
414,656,396
475,591,828
477,919,897
690,102,440
479,687,371
76,72,482
366,560,751
874,890,43
355,848,471
438,590,530
471,465,448
931,684,42
819,972,892
218,880,522
435,165,373
719,906,61
34,251,666
924,747,558
9,100,529
317,960,493
336,767,347
754,837,847
462,663,27
148,777,515
722,159,422
286,110,790
127,741,241
765,435,612
561,531,163
191,105,38
645,803,907
268,732,496
743,184,564
191,283,133
947,833,977
142,841,921
338,46,659
759,768,654
457,859,290
247,360,309
174,136,20
790,361,392
62,176,783
543,481,790
519,14,838
851,511,126
791,43,724
737,107,346
410,799,599
925,755,184
757,78,449
707,766,693
579,155,521
928,405,560
71,573,988
801,201,28
420,329,870
682,957,815
424,799,985
343,473,23
121,357,704
81,923,734
583,646,794
207,958,844
44,476,583
173,940,667
927,765,228
624,391,95
166,492,819
250,155,810
216,968,51
24,918,776
479,731,457
447,294,36
858,977,586
340,156,985
298,646,6
853,903,761
120,335,851
313,937,813
3,198,758
178,937,804
660,567,445
873,756,830
896,254,769
967,423,277
425,567,75
213,533,92
964,423,556
644,929,584
334,920,635
39,270,644
267,473,101
553,418,957
367,198,972
503,732,455
89,594,526
748,533,185
810,168,450
144,321,510
133,578,487
700,191,397
936,841,103
825,335,401
352,61,875
483,626,879
841,278,668
20,634,975
327,263,389
525,808,5
849,342,592
941,52,669
244,407,138
304,301,98
623,758,304
454,53,40
977,680,892
280,628,246
971,44,832
157,617,284
13,874,595
326,346,567
579,731,605
191,770,49
387,335,688
425,584,903
426,432,423
577,709,147
796,317,165
993,912,662
397,564,966
834,560,93
480,629,431
171,111,881
293,786,729
127,487,667
593,488,612
625,944,243
143,785,758
113,3,678
303,911,642
7,781,349
122,741,135
658,451,540
554,70,835
626,241,232
55,470,796
746,442,620
266,903,831
76,876,914
109,540,623
602,782,285
34,174,193
553,861,820
894,934,978
112,764,992
298,877,560
178,807,455
123,463,361
287,23,418
986,531,591
888,795,590
559,567,641
78,476,331
744,192,219
417,424,46
190,804,384
692,125,205
25,953,117
934,315,940
60,566,332
633,601,283
353,870,769
361,474,70
210,334,966
773,722,226
288,383,444
506,450,672
295,140,743
908,163,900
908,53,415
984,300,410
927,614,288
389,280,415
466,870,38
349,903,746
554,976,685
833,886,145
382,160,942
514,436,216
987,35,988
833,453,242
914,673,241
28,146,310
126,721,989
344,80,656
63,572,342
411,847,584
64,519,367
655,265,828
1000,414,700
924,804,40
466,335,471
887,92,297
607,151,267
806,727,215
592,960,118
159,338,531
527,163,736
214,727,315
876,224,821
192,209,758
419,828,895
240,484,974
803,612,279
53,264,262
65,893,727
796,545,440
587,603,584
754,66,575
344,484,32
585,689,2
576,667,797
635,45,671
291,726,833
633,686,600
293,869,147
583,632,635
863,726,854
81,930,47
698,175,888
580,523,520
615,986,880
88,68,92
719,30,719
504,930,285
963,935,68
848,77,310
5,636,851
267,843,744
262,557,137
461,176,573
836,651,806
858,366,403
396,823,380
947,9,643
690,375,40
954,543,254
546,482,278
20,768,591
215,948,182
989,208,326
847,985,93
896,727,378
200,178,788
805,277,391
404,328,396
824,6,900
70,547,722
605,475,551
200,705,643
604,755,340
210,786,620
320,610,770
730,746,24
704,782,124
439,11,96
445,934,731
834,821,263
284,842,350
768,293,613
879,439,379
294,37,150
986,834,913
39,823,531
965,953,706
856,449,149
650,609,800
223,383,723
435,432,429
534,37,737
585,534,239
664,318,592
856,408,515
12,444,126
23,578,839
379,544,550
575,256,268
836,973,418
882,314,585
758,878,537
732,732,287
756,297,603
660,940,246
612,344,919
290,591,537
220,921,990
135,462,620
796,731,854
655,543,389
73,307,999
329,411,361
617,432,109
228,78,312
689,470,878
866,402,955
836,943,528
545,689,349
888,882,689
985,381,301
43,961,498
688,539,582
765,48,329
116,498,566
110,881,154
595,947,482
725,537,573
657,384,418
703,59,576
824,828,714
111,800,779
765,124,4
521,304,111
150,804,798
553,196,154
299,241,250
450,357,695
481,913,41
83,2,205
867,39,95
872,130,714
94,429,323
964,641,438
124,97,433
451,560,239
302,606,356
355,765,248
82,634,21
83,288,385
640,511,919
105,66,294
454,764,435
366,744,563
701,955,637
928,639,979
128,143,14
977,641,892
144,606,276
101,778,834
264,558,109
851,265,955
825,687,569
817,528,692
741,110,515
467,787,6
587,376,668
139,601,972
653,656,40
430,77,425
713,967,209
3,871,957
711,494,140
11,781,782
639,389,178
41,379,748
312,126,840
72,525,322
393,207,458
498,699,282
61,953,239
820,994,183
859,922,706
911,319,202
99,890,760
352,120,627
51,617,737
103,633,727
992,222,23
510,194,946
737,634,224
106,556,738
491,377,297
47,322,64
407,861,261
371,453,517
269,169,609
684,576,608
321,580,781
2,120,387
994,46,725
176,963,27
681,548,559
957,652,297
899,879,679
123,620,466
806,46,159
504,735,785
670,563,767
981,138,362
175,956,724
76,105,970
701,49,803
128,301,947
719,104,984
907,43,997
918,53,717
27,654,881
706,539,632
439,399,276
511,91,520
275,911,964
121,668,26
314,952,632
32,205,611
459,722,401
226,404,804
711,99,830
863,808,618
212,750,252
140,676,383
713,252,83
604,194,271
655,199,277
865,966,115
26,485,180
187,640,464
553,530,623
995,881,682
765,844,733
570,130,361
181,395,709
409,901,866
589,800,751
641,642,234
888,201,715
82,15,617
228,246,837
122,758,742
629,888,276
331,746,38
154,706,109
808,53,525
228,905,200
119,516,555
238,394,962
478,943,74
96,944,324
398,589,292
751,709,761
511,673,888
238,411,204
587,293,908
677,59,747
119,283,164
229,999,565
530,837,166
954,445,79
25,243,933
727,544,411
838,682,116
608,691,799
306,924,300
876,976,356
175,637,242
681,849,158
531,108,119
616,352,624
813,125,279
187,490,242
443,757,199
593,252,592
305,181,956
702,994,484
854,625,682
237,863,966
149,650,333
760,386,826
825,454,818
467,715,624
227,208,989
213,124,720
337,449,453
91,940,525
579,518,696
399,233,152
90,344,731
572,513,228
875,2,813
334,127,892
142,12,271
827,108,27
784,415,165
242,1,496
487,21,19
898,9,493
461,793,584
297,992,871
406,31,837
764,737,262
985,132,999
654,360,511
475,13,708
347,618,688
200,634,643
73,385,677
504,323,412
718,575,897
85,433,729
845,219,116
258,700,870
922,418,723
916,72,387
338,717,607
123,399,597
540,22,771
31,427,874
999,927,258
411,223,249
669,563,810
350,310,285
629,868,681
716,181,18
499,386,998
675,126,455
74,426,97
991,266,43
206,743,973
792,478,307
53,163,587
145,656,840
306,95,655
314,584,104
28,25,62
217,969,427
212,619,359
17,743,931
904,467,971
602,821,306
741,855,407
286,116,64
951,269,623
254,118,858
56,168,409
768,124,16
503,127,451
706,889,686
165,898,527
877,515,217
8,848,248
793,291,310
163,302,204
571,365,852
116,982,418
160,323,712
293,282,7
391,732,876
903,388,527
311,352,357
27,60,772
787,688,109
811,590,593
387,759,95
198,212,152
359,887,927
351,508,789
951,883,691
676,240,936
690,177,210
3,844,671
855,972,872
34,477,931
475,595,729
324,885,834
79,422,342
81,782,447
997,197,520
100,993,382
